Date,Bavaria
24 Feb,14
25 Feb,14
26 Feb,14
27 Feb,14
28 Feb,15
29 Feb,15
1 Mar,19
2 Mar,25
3 Mar,35
4 Mar,48
5 Mar,52
6 Mar,79
7 Mar,117
8 Mar,148
9 Mar,256
10 Mar,314
11 Mar,366
12 Mar,500
13 Mar,558
14 Mar,681
15 Mar,886
16 Mar,1067
17 Mar,1109
18 Mar,1243
19 Mar,1692
20 Mar,2401
21 Mar,2960
22 Mar,3650
23 Mar,4892
24 Mar,5754
25 Mar,6558
26 Mar,7993
27 Mar,9481
28 Mar,11150
29 Mar,12881
30 Mar,13989
31 Mar,14810
1 Apr,16497
2 Apr,18496
3 Apr,20237
4 Apr,21908
5 Apr,23846
6 Apr,24974
7 Apr,26163
8 Apr,27564
9 Apr,28827
10 Apr,30363
11 Apr,31453
12 Apr,32282
13 Apr,33015
14 Apr,33569
15 Apr,34294
16 Apr,35142
