Date,LOM,Death
2020-01-31,0,0
2020-02-06,0,0
2020-02-21,15,0
2020-02-22,40,1
2020-02-23,57,1
2020-02-24,61,4
2020-02-25,67,2
2020-02-26,65,1
2020-02-27,98,5
2020-02-28,128,3
2020-02-29,84,6
2020-03-01,369,1
2020-03-02,270,14
2020-03-03,266,17
2020-03-04,300,18
2020-03-05,431,25
2020-03-06,361,37
2020-03-07,808,19
2020-03-08,769,113
2020-03-09,1280,66
2020-03-10,322,135
2020-03-11,1489,149
2020-03-12,1445,127
2020-03-13,1095,146
2020-03-14,1865,76
2020-03-15,1587,252
2020-03-16,1377,0
2020-03-17,1571,0
2020-03-18,1493,319
2020-03-19,2171,0
2020-03-20,2380,381
2020-03-21,3251,546
2020-03-22,1691,361
2020-03-23,1555,0
2020-03-24,1942,0
2020-03-25,1643,296
2020-03-26,2543,387
2020-03-27,2409,541
2020-03-28,2117,542
2020-03-29,1592,416
2020-03-30,1154,458
2020-03-31,1047,381
2020-04-01,1565,394
2020-04-02,1292,367
2020-04-03,1455,351
2020-04-04,1598,345
2020-04-05,1337,249
2020-04-06,1079,297
2020-04-07,791,282
2020-04-08,1089,238
2020-04-09,1388,0
2020-04-10,1246,216
2020-04-11,1544,273
2020-04-12,1460,0
2020-04-13,1262,0
2020-04-14,1012,241
2020-04-15,827,235
2020-04-16,941,231
2020-04-17,1041,243
