,Date,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia,"Germany, repatriated[c]",Total infections,New cases,Total deaths,New deaths
1,24 Feb,—,14,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,16,—,—,—
2,25 Feb,1,14,—,—,—,—,—,—,—,1,—,—,—,—,—,—,2,18,2,—,—
3,26 Feb,3,14,—,—,—,—,—,—,—,2,—,—,—,—,—,—,2,21,3,—,—
4,27 Feb,6,14,—,—,—,—,—,—,—,4,—,—,—,—,—,—,2,26,5,—,—
5,28 Feb,10,15,—,—,—,—,—,—,—,25,—,—,—,—,1,—,2,53,27,—,—
6,29 Feb,14,15,—,—,—,—,3,—,—,30,1,—,—,—,1,—,2,66,13,—,—
7,1 Mar,15,19,—,—,1,1,8,1,—,66,2,—,—,—,2,—,2,117,51,—,—
8,2 Mar,19,25,1,—,1,1,10,1,—,86,2,—,—,—,2,—,2,150,33,—,—
9,3 Mar,26,35,3,1,1,2,10,1,—,101,2,—,1,—,2,1,2,188,38,—,—
10,4 Mar,44,48,6,1,2,2,12,4,3,111,2,1,1,—,2,1,2,240,52,—,—
11,5 Mar,65,52,9,1,3,8,14,10,4,175,7,1,1,—,3,1,[d],349,109,—,—
12,6 Mar,91,79,15,1,3,8,15,18,5,281,8,1,1,—,7,1,—,534,185,—,—
13,7 Mar,116,117,24,2,4,12,16,19,5,346,10,2,2,—,8,1,—,684,150,—,—
14,8 Mar,182,148,28,2,4,13,17,21,7,392,15,4,4,—,8,2,—,847,163,—,—
15,9 Mar,199,256,40,6,4,17,20,33,8,484 (2),19,5,10,—,9,2,—,1112,265,2,2
16,10 Mar,237,314,48,9,4,29,35,49,13,648 [e] (2),25,7,22,7,9,4,—,1460,348 [e],2,—
17,11 Mar,277,366,90,24,21,48,48,75,17,801 [e] (3),25,14,26,15,27,10,—,1884 [e],424 [e],3,1
18,12 Mar,454 (1),500 (1),137,30,38,88,99,129,23,688 [e] (3),52,14,45,27,31,14,—,2369,485,5,2
19,13 Mar,454 (1),558 (1),174,44,42,99,148,230,33,936 (3),102,40,83,42,48,29,—,3062,693,5,—
20,14 Mar,569 (2),681 (1),216,61,50,158,203,253,45,1154 (5),121,40,93,45,60,46,—,3795,733,8,3
21,15 Mar,827 (3),886 (4),283,84,53,162,286,287,50,1407 (5),168,32,130,47,103,51,—,4838,1043,12,4
22,16 Mar,1105 (3),1067 (5),300,94,56,260,342,391,51,1541 (5),325,85,140,77,123,55,—,6012 [f],1174 [f],13,1
23,17 Mar,1479 (2),1109 (4),345,73,57,310,373,325,45,2105 (6),442,75,182,58,127,51,—,7156,1144,12,—
24,18 Mar,1609 (2),1243 (4),391,92,69,358,432,478,56,2372 (6),474,88,198,105,159,74,—,8198,1042,12,—
25,19 Mar,2155 (6),1692 (8),573,134,80,432,682,669,98,3033 (6),637,99,275,140,202,98,—,10999,2801,20,8
26,20 Mar,2746 (10),2401 (12),731,192,121,586,813 (1),803,131,3497 (6),801 (1),146,394,180,266 (1),149,—,13957,2958,31,11
27,21 Mar,3668 (16),2960 (19),866 (1),254,142,587,1080 (2),1023,165,3542 (6),938 (1),187,567,188,308 (1),187,—,16662,2705,47,16
28,22 Mar,3807 (21),3650 (21),1024 (1),274,165,872,1175 (2),1306 (1),172,3545 (6),1053 (2),187,606,211,347 (1),216,—,18610,1948,55,8
29,23 Mar,3811 (21),4892 (26),1077 (1),288,170,943,1347 (3),1483 (4),172,5615 (28),1177 (2),200,653,212,383 (1),249,—,22672,4062,86,31
30,24 Mar,5348 (30),5754 (30),1220 (1),343,183,1043,1620 (4),1764 (6),199,6318 (33),1370 (5),337 (1),811 (1),321,478 (2),327 (1),—,27436,4764,114,28
31,25 Mar,6069 (37),6558 (37),1428 (2),429 (1),200,1262,1754 (4),2140 (7),218,7197 (43),1591 (5),403 (2),959 (6),375,577 (3),394 (1),—,31554,4118,149,35
32,26 Mar,7283 (56),7993 (47),1656 (4),477 (1),211 (1),1265,2157 (6),2347 (8),244,7924 (53),1816 (6),433 (2),1141 (7),418 (1),675 (3),468 (1),—,36508,4954,198,49
33,27 Mar,8161 (70),9481 (55),1955 (8),537 (1),241 (1),1693 (2),2323 (7),2810 (10),259,9235 (72),1971 (8),505 (2),1305 (7),458 (2),812 (4),542 (4),—,42288,5780,253,55
34,28 Mar,9781 (101),11150 (77),2161 (8),645 (1),260 (2),1765 (2),2604 (9),3150 (12),308,10607 (80),2212 (11),550 (2),1432 (9),458 [g] (2),915 (4),584 (5),—,48582 [g],6294 [g],325 [g],72 [g]
35,29 Mar,9794 [h] (101),12881 (107),2360 (9),721 (1),275 (2),1846 (4),2605 [h] (9),3450 (21),348 (1),11400 (98),2396 (12),560 [h] (2),1617 (9),592 [g] (2),1005 (6),697 (5),—,52547 [h],3965 [h],389 [h],64 [h]
36,30 Mar,10943 [h] (119),13989 (127),2464 (11),761 (2),286 (2),2053 (5),3091 [h] (13),3732 (26),356 (1),12178 (101),2584 (18),706 [h] (7),1795 (9),592 [i] (2),1049 (7),719 (5),—,57298 [i],4751 [i],455 [i],66 [i]
37,31 Mar,12334 (165),14810 (162),2575 (13),798 (2),294 (4),2191 (9),3283 (17),4063 (34),366 (1),13225 (117),2726 (19),782 (7),1882 (12),680 [i] (6),1120 (9),784 (6),—,61913,4615,583,128
38,1 Apr,13410 (197),16497 (225),2754 (16),881 (4),311 (5),2311 (14),3445 (21),4382 (42),406 (3),14351 (134),2899 (23),829 (8),2034 (17),750 (7),1246 (10),860 (6),—,67366,5453,732,149
