,Date,VDA,LIG,PIE,LOM,VEN,TN,BZ,FVG,EMR,MAR,TOS,UMB,LAZ,ABR,MOL,CAM,BAS,PUG,CAL,SIC,SAR,New,Total,New.1,Total.1,ICU,Total.2,Total.3,Total.4,Refs,Ns
0,2020-01-31,,,,,,,,,,,,,2,,,,,,,,,2,2,–,–,–,2,–,,[454],
1,2020-02-06,,,,,,,,,,,,,1,,,,,,,,,1,3,–,–,–,3,–,,[455],[a]
2,2020-02-21,,,,15,(1) 2,,,,,,,,,,,,,,,,,17,20,1,1,–,19,–,,[456],
3,2020-02-22,,,1,(1) 40,16,,,,2,,,,,,,,,,,,,59,79,1,2,18,75,–,,[5][457],
4,2020-02-23,,,2,(1) 57,7,,,,7,,,,,,,,,,,,,71,150,1,3,25,147,–,,[458][459],[b]
5,2020-02-24,,,,(4) 61,7,,,,9,,,,,,,,,,,,,77,227,4,7,27,199,1,,[460][461],[b]
6,2020-02-25,,1,,(2) 67,(1) 11,,1,,8,,2,,,,,,,,,3,,93,320,3,10,35,309,1,">8,600",[462][463],[b]
7,2020-02-26,,10,,(1) 65,28,,,,(1) 21,1,,,,,,,,,,,,125,445,2,12,36,430,3,9587,[464][465],[b][c]
8,2020-02-27,,8,1,(5) 98,40,,,,50,2,,,,1,,3,,1,,1,,205,650,5,17,56,588,45,12014,[467][468],[d]
9,2020-02-28,,,9,(3) 128,40,,,,(1) 48,3,6,,,,,1,,2,1,,,238,888,4,21,64,821,46,15695,[470][471],
10,2020-02-29,,23,,(6) 84,40,,,,(2) 72,5,3,,3,1,,9,,,,,,240,1128,8,29,105,1049,50,18661,[472][473],
11,2020-03-01,,–17,38,(1) 369,72,,,6,(4) 68,14,2,2,,3,,4,,,,5,,566,1694,5,34,140,1577,83,21127,[474][475],
12,2020-03-02,,–3,2,(14) 270,10,,,3,(3) 50,(1) 10,,,1,,,,,1,,–2,,342,2036,18,52,166,1835,149,23345,[476][477],
13,2020-03-03,,(1) 2,5,(17) 266,(1) 34,4,,4,(7) 85,(1) 26,6,6,7,1,3,13,1,2,,,1,466,2502,27,79,229,2263,160,25856,[478],
14,2020-03-04,,2,26,(18) 300,(3) 53,1,,5,(4) 124,(2) 23,19,1,16,1,,1,,(1) 3,,11,1,587,3089,28,107,295,2706,276,29837,[479],
15,2020-03-05,2,(2) 2,(2) 26,(25) 431,(4) 47,2,,3,(8) 154,40,23,,14,1,4,14,,5,1,,,769,3858,41,148,351,3296,414,32362,[480],
16,2020-03-06,5,4,(2) 35,(37) 361,(2) 81,3,3,10,(7) 172,35,18,7,(1) 10,1,5,12,2,3,2,6,3,778,4636,49,197,462,3916,523,36359,[481],
17,2020-03-07,1,(1) 19,(1) 64,(19) 808,(1) 55,4,5,11,(11) 140,(2) 48,34,8,22,2,2,4,,(1) 9,,11,,1247,5883,36,233,567,5061,589,42062,[482],[e]
18,2020-03-08,1,(2) 27,153,(113) 769,(5) 127,9,,(1) 15,(8) 170,(1) 65,53,2,(2) 11,6,,40,1,(1) 14,5,18,6,1492,7375,133,366,650,6387,622,49937,[484][485],
19,2020-03-09,6,(1) 31,(8) –10,"(66) 1,280",(2) 74,10,,36,(14) 206,(3) 51,(1) 42,2,(2) 15,13,,19,1,10,2,1,8,1797,9172,97,463,733,7985,724,53826,[486][487],
20,2020-03-10,2,(1) 32,(4) 103,(135) 322,(6) 112,19,29,(2) 23,(15) 147,(3) 71,56,9,(1) 14,(1) 8,1,7,2,9,2,8,1,977,10149,168,631,877,8514,1004,60761,[488][489],[f]
21,2020-03-11,(1) 3,53,(4) 48,"(149) 1,489",(3) 167,25,37,(3) 10,(28) 206,(5) 85,56,9,34,,1,(1) 27,1,(2) 18,6,21,17,2313,12462,196,827,1028,10590,1045,73154,[491],[g]
22,2020-03-12,7,(3) 80,(5) 79,"(127) 1,445",(3) 361,(1) 30,(1) 29,(2) 41,(33) 208,(4) 113,(4) 44,18,(3) 50,(1) 46,,25,,27,14,(2) 32,2,2651,15113,189,1016,1153,12839,1258,86011,[492],
23,2020-03-13,1,(6) 71,(20) 260,"(146) 1,095",(10) 211,(1) 56,(1) 21,(2) 90,(55) 316,(5) 133,106,(1) 12,(2) 77,5,1,(1) 41,2,25,5,15,4,2547,17660,250,1266,1328,14955,1439,97488,[493],
24,2020-03-14,14,(10) 118,(13) 33,"(76) 1,865",(13) 342,43,(1) 48,(3) 44,(40) 381,(9) 174,(1) 160,31,(2) 80,23,,(4) 52,,(3) 37,22,26,4,3497,21157,175,1441,1518,17750,1966,109170,[494],
25,2020-03-15,15,(6) 96,(22) 238,"(252) 1,587",(8) 235,(4) 172,(2) 31,(1) 46,(43) 449,(10) 234,(2) 151,36,(3) 79,(1) 25,,(3) 61,1,(8) 64,(1) 8,32,(2) 30,3590,24747,368,1809,1672,20603,2335,124899,[495],
26,2020-03-16,(1) 48,(17) 108,(30) 405,"(202) 1,377",(6) 301,,(1) 37,(8) 39,(62) 429,(11) 109,(6) 85,21,(3) 87,(1) 39,(1) 4,67,1,,21,25,30,3233,27980,349,2158,1851,23073,2749,137962,[496],[h]
27,2020-03-17,31,(10) 111,(22) 381,"(220) 1,571",(11) 231,(1) 7,(2) 50,(8) 8,(47) 409,(12) 129,(3) 187,33,(4) 84,(2) 53,4,60,8,(2) 110,25,(1) 24,10,3526,31506,345,2503,2060,26062,2941,148657,[497],[i]
28,2020-03-18,(1) 29,(13) 109,(21) 444,"(319) 1,493",(14) 510,70,(1) 85,(1) 68,(65) 594,(23) 197,(5) 277,(1) 50,(9) 117,(1) 34,3,,7,(1) 43,15,45,17,4207,35713,475,2978,2257,28710,4025,165541,[498],[j]
29,2020-03-19,(3) 50,(18) 172,(21) 591,"(209) 2,171",(21) 270,(5) 68,(5) 60,(5) 137,(73) 689,(23) 169,(16) 152,87,(6) 99,(4) 122,(1) 18,(8) 192,10,(6) 95,(2) 40,(1) 58,72,5322,41035,427,3405,2498,33190,4440,182777,[499],
30,2020-03-20,(1) 49,(28) 162,(34) 529,"(381) 2,380",(16) 547,(1) 119,(3) 112,(2) 57,(109) 754,(22) 244,(9) 311,(5) 61,(5) 185,(6) 64,(3) 4,97,15,(1) 103,(1) 38,68,87,5986,47021,627,4032,2655,37860,5129,206886,[500],
31,2020-03-21,(1) 49,(33) 215,(29) 291,"(546) 3,251",(15) 586,(15) 140,(3) 73,(4) 134,(75) 737,(17) 172,(25) 219,(3) 67,(7) 182,(5) 80,(2) 11,(5) 95,14,(3) 94,(1) 28,(2) 82,(2) 37,6557,53578,793,4825,2857,42681,6072,233222,[501],
