,Unnamed: 0,NSW[162][a],VIC[164],QLD[165],SA[166],WA[167],TAS[168],ACT[169],NT[170][b],Total[c],Newcases,%growth,DeathsNationally[173]
0,25 January,3,1,0,0,0,0,0,0,4,4,,0
1,27 January,4,1,0,0,0,0,0,0,6,2,,0
2,29 January,4,2,1,0,0,0,0,0,7,1,,0
3,30 January,4,3,2,0,0,0,0,0,9,2,,0
4,1 February,4,4,2,0,0,0,0,0,10,1,,0
5,4 February,4,4,3,0,0,0,0,0,11,1,,0
6,5 February,4,4,4,0,0,0,0,0,12,1,,0
7,6 February,4,4,5,0,0,0,0,0,13,1,,0
8,22 February,4,4,7,0,1,0,0,0,16,3,,0
9,25 February,4,4,8,0,1,0,0,0,17,1,,0
10,29 February,5,4,9,3,2,0,0,0,23,6,,0
11,1 March,6,9,9,3,2,0,0,0,29,6,26.1%,1[38]
12,2 March,9,9,9,3,2,1,0,0,33,4,13.8%,1
13,3 March,15,10,10,3,2,1,0,0,41,8,24.2%,1
14,4 March[d],22,10,11,5,2,1,0,1,52,11,26.8%,2[42]
15,5 March,25,10,13,7,3,1,0,1,60,8,15.4%,2
16,6 March,28,10,14,7,3,1,0,0,63,3,5.0%,2
17,7 March,36,11,14,7,3,2,0,0,73,10,15.9%,2
18,8 March,40,12,15,7,4,2,0,0,80,7,9.6%,3
19,9 March,47,15,15,7,6,2,0,0,92,12,15.0%,3
20,10 March,60,19,18,7,6,2,0,0,112,20,21.7%,3
21,11 March,64,22,20,9,9,3,0,0,127,15,13.4%,3
22,12 March,77,27,27,12,9,3,1,0,156,29,22.8%,3
23,13 March,91,36,35,16,14,5,1,0,198,42,26.9%,3
24,14 March,111,49,46,19,17,5,1,0,248,50,25.3%,3
25,15 March,133,57,62,20,18,7,1,0,298,50,20.2%,5[174]
26,16 March,170,71,68,30,28,7,2,0,376,78,26.2%,5
27,17 March,209,94,78,32,31,7,2,0,453,77,20.5%,5
28,18 March,266,121,94,37,35,10,3,0,566,113,24.9%,6[175]
29,19 March,306,150,144,42,52,10,4,0,708,142,25.1%,6
30,20 March,381,178,184,50,64,10,6,2,875,167,23.6%,7
31,21 March,435,229,221,67,90,16,9,4,1071,196,22.4%,7
32,22 March[e],532,296,259,100,120,22,19,6,1354,283,26.4%,7
33,23 March,704,355,319,134,140,28,32,6,1718,364,26.9%,7
34,24 March,913,411,397,170,175,36,39,6,2147,429,25.0%,8[177]
35,25 March,1029,466,443,197,205,42,44,6,2432,285,13.3%,9[178]
36,26 March,1219,520,493,235,231,47,53,12,2810,378,15.5%,13[179][180][181]
37,27 March,1405,574,555,257,255,58,62,14,3180,370,13.2%,13
38,28 March,1617,685,625,287,278,62,71,15,3640,460,14.5%,14[109]
39,29 March,1791,769,656,299,312,66,77,15,3985,345,9.5%,16[182][110]
40,30 March,1918,821,689,305,355,69,78,15,4250,265,6.6%,18[183][184]
41,31 March,2032,917,743,337,364,69,80,19,4561,311,7.3%,19[185]
42,1 April,2182,968,781,367,392,71,84,19,4864,303,6.6%,21[186]
43,2 April,2298,1036,835,385,400,74,87,22,5137,273,5.6%,24[187][188]
44,3 April,2389,1085,873,396,422,80,91,26,5362,225,4.4%,28[120][121][122][123]
45,4 April,2493,1115,900,407,436,82,93,26,5552,190,3.5%,30[124][125]
